outlet|itemcode|itemlink|barcode|articleno|description|QOH|price|retail_ext|FIFO Cost|FIFO Total|FIFO GP%|Last Cost|LastCost Total|LastCost GP%|PO|CPO|SO|IBT|DN|CN|POS
SS|8011735401|8011735401|8850387000214|573843|MV CREMO CRUNCHY DIP VANILA 70G|-2087.0|2.2|-4591.400000000001|1.76|-3673.12|20.0|1.76|-3673.12|20.0|1|1|0|0|0|0|0
SS|8011736801|8011736801|8850387004007|573861|MV CREMO PILOT VANILLA 60G|-1708.0|3.5|-5978.0|2.8|-4782.4|20.0|2.8|-4782.4|20.0|1|1|0|0|0|0|0
SS|8011736701|8011736701|8850387004014|573860|MV CREMO PILOT CHOCOLATE 60G|-1656.0|3.5|-5796.0|2.8|-4636.8|20.0|2.8|-4636.8|20.0|1|1|0|0|0|0|0
SS|8011735201|8011735201|8850387000504|573841|MV CREMO CRUNCHY CONE VANILA 80G|-1636.0|3.5|-5726.0|2.8|-4580.8|20.0|2.8|-4580.8|20.0|1|1|0|0|0|0|0
SS|8011734201|8011734201|8850387004670|573831|MV CREMO ATOM 60G|-1593.0|3.5|-5575.5|2.8|-4460.4|20.0|2.8|-4460.4|20.0|1|1|0|0|0|0|0
SS|8011735001|8011735001|8850387000535|573839|MV CREMO CRUNCHY CONE CHOC  80G|-1532.0|3.5|-5362.0|2.8|-4289.6|20.0|2.8|-4289.6|20.0|1|1|0|0|0|0|0
SS|8011736401|8011736401|8850387000238|573855|MV CREMO MR TRIPLE 68G|-1296.0|2.8|-3628.7999999999997|2.24|-2903.04|20.0|2.4|-3110.4|14.3|1|1|0|0|0|0|0
SS|8011736501|8011736501|8850387001235|573857|MV CREMO PANDA 65G|-848.0|2.4|-2035.1999999999998|1.92|-1628.16|20.0|1.92|-1628.16|20.0|1|1|0|0|0|0|0
SS|8011736601|8011736601|8850387011760|573859|MV CREMO PENGUIN 65G|-814.0|2.4|-1953.6|1.92|-1562.88|20.0|1.16|-944.24|51.7|1|1|0|0|0|0|0
SS|8011737701|8011737701|8850387005714|573870|MV CREMO TRIO 70G|-477.0|1.7|-810.9|1.36|-648.72|20.0|1.36|-648.72|20.0|1|1|0|0|0|0|0
SS|6160107601|6160107601|9555310705622|445616|TAY-139-M MEN SHOES|-466.0|13.9|-6477.400000000001|11.12|-5181.92|20.0|11.12|-5181.92|20.0|0|0|0|0|0|0|0
SS|6160085501|6160085501|9555310709187|444317|TM SLIPPER TAY-490|-421.0|4.9|-2062.9|3.92|-1650.32|20.0|3.92|-1650.32|20.0|0|0|0|0|0|0|0
